service;adresse_geographique;telephone;departement;code_commune_insee;voie;code_postal;commune;geocodage_epsg;geocodage_x;geocodage_y;geocodage_x_GPS;geocodage_y_GPS
"Commissariat de police de Brest";"15 Rue Colbert$29200 BREST";"+33 2 21 09 53 60";"29";"29019";"15 Rue Colbert";"29200";"BREST";"";"";"";"-4.48697183";"48.38889008"
"Commissariat de police de Brest - Secteur Bellevue";"Place Napoléon III$29200 BREST";"+33 2 98 03 12 43";"29";"29019";"Place Napoléon III";"29200";"BREST";"";"";"";"-4.50843166";"48.40466575"
"Commissariat de police de Brest - Secteur Centre";"9 Place Maurice Gillet$29200 BREST";"+33 2 98 80 68 68";"29";"29019";"9 Place Maurice Gillet";"29200";"BREST";"";"";"";"-4.47978912";"48.39535565"
"Commissariat de police de Brest - Secteur Lambezellec";"4 Rue Pierre Corre$29200 BREST";"+33 2 98 03 27 50";"29";"29019";"4 Rue Pierre Corre";"29200";"BREST";"";"";"";"-4.49209043";"48.41410668"
"Commissariat de police de Brest - Secteur Recouvrance";"196 Rue Anatole France$29200 BREST";"+33 2 98 30 21 70";"29";"29019";"196 Rue Anatole France";"29200";"BREST";"";"";"";"-4.51645184";"48.38286349"
"Commissariat de police de Concarneau";"1 Avenue de la gare$29900 CONCARNEAU";"+33 2 90 41 33 80";"29";"29039";"1 Avenue de la gare";"29900";"CONCARNEAU";"";"";"";"-3.91868797";"47.87436415"
"Commissariat de police de Morlaix";"17 Place Charles de Gaulle$29600 MORLAIX";"+33 2 21 09 56 77";"29";"29151";"17 Place Charles de Gaulle";"29600";"MORLAIX";"";"";"";"-3.83142001";"48.58119307"
"Commissariat de police de Quimper";"3 Rue Théodore le Hars$29000 QUIMPER";"+33 2 90 41 35 50";"29";"29232";"3 Rue Théodore le Hars";"29000";"QUIMPER";"";"";"";"-4.09976601";"47.99451952"
"Commissariat de police de Quimper - Secteur Ergué-Armel";"1 bis Place Charles de Gaulle$29000 QUIMPER";"+33 2 98 52 17 41";"29";"29232";"1 bis Place Charles de Gaulle";"29000";"QUIMPER";"";"";"";"-4.09780173";"48.00385017"
"Commissariat de police de Quimper - Secteur Kerfeunteun";"20 Rue de Belle Ile en mer$29000 QUIMPER";"+33 2 98 98 00 30";"29";"29232";"20 Rue de Belle Ile en mer";"29000";"QUIMPER";"";"";"";"-4.08406459";"47.98672881"
"Commissariat de police de Quimper - Secteur Penhars";"28 Rue Paul Borossi$29000 QUIMPER";"+33 2 98 64 64 30";"29";"29232";"28 Rue Paul Borossi";"29000";"QUIMPER";"";"";"";"-4.12916485";"47.98748406"
"Commissariat de police d'Ajaccio";"5 Rue du Général Fiorella$20000 AJACCIO";"+33 4 95 11 17 11";"2A";"2A004";"5 Rue du Général Fiorella";"20000";"AJACCIO";"";"";"";"8.73629616";"41.91902001"
"Commissariat de police de Bastia";"10 bis Rue Luce de Casabianca$20200 BASTIA";"+33 4 95 55 22 22";"2B";"2B033";"10 bis Rue Luce de Casabianca";"20200";"BASTIA";"";"";"";"9.45338506";"42.70438367"
"Commissariat de police d'Alès";"1 Rue Saint Sébastien$30100 ALES";"+33 4 66 78 14 22";"30";"30007";"1 Rue Saint Sébastien";"30100";"ALES";"";"";"";"4.07753202";"44.12702923"
"Commissariat de police de Bagnols-sur-Cèze";"Rue Gentil$30200 BAGNOLS SUR CEZE";"+33 4 66 90 63 90";"30";"30028";"Rue Gentil";"30200";"BAGNOLS SUR CEZE";"";"";"";"4.61777349";"44.16250631"
"Commissariat de police de Nîmes";"245 Avenue Pierre Gamel$30000 NIMES";"+33 4 66 27 30 00";"30";"30189";"245 Avenue Pierre Gamel";"30000";"NIMES";"";"";"";"4.36146057";"43.82618837"
"Commissariat de police de Nîmes - Secteur Est";"329 Avenue Bir Hakeim$30000 NIMES";"+33 4 66 26 67 59";"30";"30189";"329 Avenue Bir Hakeim";"30000";"NIMES";"";"";"";"4.38562796";"43.8423686"
"Commissariat de police de Nîmes - Secteur Ouest";"4 Promenade Newton$30000 NIMES";"+33 4 66 27 32 20";"30";"30189";"4 Promenade Newton";"30000";"NIMES";"";"";"";"4.32853582";"43.82927688"
"Commissariat de police de Villeneuve-lès-Avignon";"Résidence bout de la ville$30400 VILLENEUVE LES AVIGNON";"+33 4 90 15 12 00";"30";"30351";"Résidence bout de la ville";"30400";"VILLENEUVE LES AVIGNON";"";"";"";"4.79468282";"43.96755962"
"Commissariat de police de Blagnac";"36 Avenue de Cornebarrieu$31700 BLAGNAC";"+33 5 62 12 52 40";"31";"31069";"36 Avenue de Cornebarrieu";"31700";"BLAGNAC";"";"";"";"1.38484823";"43.63768467"
"Commissariat de police de Colomiers";"2 Passage de l'Hôtel de ville$31770 COLOMIERS";"+33 5 34 36 12 66";"31";"31149";"2 Passage de l'Hôtel de ville";"31770";"COLOMIERS";"";"";"";"1.33531889";"43.61082251"
"Commissariat de police de Saint-Gaudens";"2 Place du Capitaine Gesse$31800 ST GAUDENS";"+33 5 61 94 87 00";"31";"31483";"2 Place du Capitaine Gesse";"31800";"ST GAUDENS";"";"";"";"0.72177188";"43.10982402"
"Commissariat de police de Toulouse";"23 Boulevard de l'Embouchure$31000 TOULOUSE";"+33 5 61 12 77 77";"31";"31555";"23 Boulevard de l'Embouchure";"31000";"TOULOUSE";"";"";"";"1.43350095";"43.61520061"
"Commissariat de police de Toulouse - Secteur Bagatelle";"125 Boulevard Henri Desbals$31000 TOULOUSE";"+33 5 61 43 12 40";"31";"31555";"125 Boulevard Henri Desbals";"31000";"TOULOUSE";"";"";"";"1.41222741";"43.5800493"
"Commissariat de police de Toulouse - Secteur Centre";"17 Rue du rempart Saint Etienne$31000 TOULOUSE";"+33 5 61 12 81 97";"31";"31555";"17 Rue du rempart Saint Etienne";"31000";"TOULOUSE";"";"";"";"1.45069738";"43.60164371"
"Commissariat de police de Toulouse - Secteur Jolimont";"16 Avenue Camille Flammarion$31000 TOULOUSE";"+33 5 62 12 25 30";"31";"31555";"16 Avenue Camille Flammarion";"31000";"TOULOUSE";"";"";"";"1.46261458";"43.61103367"
"Commissariat de police de Toulouse - Secteur Mirail";"62 Allée de Bellefontaine$31000 TOULOUSE";"+33 5 34 62 70 10";"31";"31555";"62 Allée de Bellefontaine";"31000";"TOULOUSE";"";"";"";"1.40002876";"43.56588991"
"Commissariat de police de Toulouse - Secteur Nord";"104 Avenue de Fronton$31000 TOULOUSE";"+33 5 34 42 23 20";"31";"31555";"104 Avenue de Fronton";"31000";"TOULOUSE";"";"";"";"1.43337563";"43.63386972"
"Commissariat de police de Toulouse - Secteur Ormeau";"3 Rue Raymond Corraze$31000 TOULOUSE";"+33 5 61 20 10 02";"31";"31555";"3 Rue Raymond Corraze";"31000";"TOULOUSE";"";"";"";"1.48378085";"43.57922179"
"Commissariat de police de Toulouse - Secteur Ouest";"46 Allée Charles de Fitte$31000 TOULOUSE";"+33 5 61 77 07 77";"31";"31555";"46 Allée Charles de Fitte";"31000";"TOULOUSE";"";"";"";"1.43161328";"43.59709327"
"Commissariat de police de Toulouse - Secteur Sud";"30 Route de Narbonne$31000 TOULOUSE";"+33 5 34 31 81 40";"31";"31555";"30 Route de Narbonne";"31000";"TOULOUSE";"";"";"";"1.45463525";"43.57081958"
"Commissariat de police de Tournefeuille";"15 Boulevard Vincent Auriol$31170 TOURNEFEUILLE";"+33 5 61 31 77 00";"31";"31557";"15 Boulevard Vincent Auriol";"31170";"TOURNEFEUILLE";"";"";"";"1.34675958";"43.58602221"
"Commissariat de police d'Auch";"1 Rue du Préfet Claude Erignac$32000 AUCH";"+33 5 62 61 54 54";"32";"32013";"1 Rue du Préfet Claude Erignac";"32000";"AUCH";"";"";"";"0.58615491";"43.64656926"
"Commissariat de police d'Arcachon";"1 Place de Verdun$33120 ARCACHON";"+33 5 57 72 29 30";"33";"33009";"1 Place de Verdun";"33120";"ARCACHON";"";"";"";"-1.16096688";"44.65828076"
"Commissariat de police d'Eysines";"30 Avenue de Picot$33320 EYSINES";"+33 5 57 93 09 30";"33";"33162";"30 Avenue de Picot";"33320";"EYSINES";"";"";"";"-0.64781326";"44.88319786"
"Commissariat de police de Bordeaux";"23 Rue François de Sourdis$33000 BORDEAUX";"+33 5 57 85 77 77";"33";"33063";"23 Rue François de Sourdis";"33000";"BORDEAUX";"";"";"";"-0.58881265";"44.83504476"
"Commissariat de police de Bègles";"49 Avenue du Maréchal de Lattre de Tassigny$33130 BEGLES";"+33 5 57 35 65 70";"33";"33039";"49 Avenue du Maréchal de Lattre de Tassigny";"33130";"BEGLES";"";"";"";"-0.54303303";"44.80540999"
"Commissariat de police de Cenon";"135 Avenue Cassagne$33150 CENON";"+33 5 56 38 52 52";"33";"33119";"135 Avenue Cassagne";"33150";"CENON";"";"";"";"-0.51661026";"44.85380224"
"Commissariat de police de Gradignan";"201 Cours du Général de Gaulle$33170 GRADIGNAN";"+33 5 40 12 14 44";"33";"33192";"201 Cours du Général de Gaulle";"33170";"GRADIGNAN";"";"";"";"-0.61532618";"44.77098179"
"Commissariat de police de Le Bouscat";"226 Avenue de Tivoli$33110 LE BOUSCAT";"+33 5 57 22 52 30";"33";"33069";"226 Avenue de Tivoli";"33110";"LE BOUSCAT";"";"";"";"-0.59558097";"44.86629138"
"Commissariat de police de Mérignac";"14 Place Charles de Gaulle$33700 MERIGNAC";"+33 5 56 47 11 54";"33";"33281";"14 Place Charles de Gaulle";"33700";"MERIGNAC";"";"";"";"-0.64665073";"44.84212124"
"Commissariat de police de Pessac";"49 bis Avenue du Général Leclerc$33600 PESSAC";"+33 5 57 26 38 70";"33";"33318";"49 bis Avenue du Général Leclerc";"33600";"PESSAC";"";"";"";"-0.66917104";"44.79448798"
"Commissariat de police de Talence";"35 Rue des Charmilles$33400 TALENCE";"+33 5 57 35 77 22";"33";"33522";"35 Rue des Charmilles";"33400";"TALENCE";"";"";"";"-0.59134115";"44.81594729"
"Commissariat de police d'Agde";"Avenue du Général de Gaulle$34300 AGDE";"+33 4 67 01 02 00";"34";"34003";"Avenue du Général de Gaulle";"34300";"AGDE";"";"";"";"3.47466585";"43.31240959"
"Commissariat de police de Béziers";"Place du Général de Gaulle$34500 BEZIERS";"+33 4 67 49 54 00";"34";"34032";"Place du Général de Gaulle";"34500";"BEZIERS";"";"";"";"3.21776361";"43.34548693"
"Commissariat de police de Béziers - Secteur La Devèze";"8 Place William Webb$34500 BEZIERS";"+33 4 86 94 97 20";"34";"34032";"8 Place William Webb";"34500";"BEZIERS";"";"";"";"3.21587865";"43.34463991"
"Commissariat de police de Frontignan";"1 Avenue Frédéric Mistral$34110 FRONTIGNAN";"+33 4 86 94 96 90";"34";"34108";"1 Avenue Frédéric Mistral";"34110";"FRONTIGNAN";"";"";"";"3.75369483";"43.44689201"
"Commissariat de police de Lattes";"1 Avenue de l'Agau$34970 LATTES";"+33 4 86 94 97 00";"34";"34129";"1 Avenue de l'Agau";"34970";"LATTES";"";"";"";"3.90621715";"43.571021"
"Commissariat de police de Montpellier";"206 Rue du comte de Melgueil$34000 MONTPELLIER";"+33 4 99 13 50 00";"34";"34172";"206 Rue du comte de Melgueil";"34000";"MONTPELLIER";"";"";"";"3.89221969";"43.60370805"
"Commissariat de police de Montpellier - Secteur Centre";"1 Allée Jules Milhaud$34000 MONTPELLIER";"+33 4 86 94 97 30";"34";"34172";"1 Allée Jules Milhaud";"34000";"MONTPELLIER";"";"";"";"3.85988779";"43.61153256"
"Commissariat de police de Montpellier - Secteur Nord";"Quartier Mosson$Le grand Mail$34000 MONTPELLIER";"+33 4 86 94 96 50";"34";"34172";"Quartier Mosson - Le grand Mail";"34000";"MONTPELLIER";"";"";"";"3.81652803";"43.62385305"
"Commissariat de police de Sète";"50 Quai de Bosc$34200 SETE";"+33 4 67 46 80 22";"34";"34301";"50 Quai de Bosc";"34200";"SETE";"";"";"";"3.69461482";"43.40900569"
"Commissariat de police de Dinard";"49 Boulevard Féart$35800 DINARD";"+33 2 57 87 10 25";"35";"35093";"49 Boulevard Féart";"35800";"DINARD";"";"";"";"-2.05517388";"48.63142577"
"Commissariat de police de Fougères";"6 Place de la République$35300 FOUGERES";"+33 2 99 94 17 17";"35";"35115";"6 Place de la République";"35300";"FOUGERES";"";"";"";"-1.19611995";"48.35008743"
"Commissariat de police de Rennes";"22 Boulevard de la Tour d'Auvergne$35000 RENNES";"+33 2 99 65 00 22";"35";"35238";"22 Boulevard de la Tour d'Auvergne";"35000";"RENNES";"";"";"";"-1.69028272";"48.10213011"
"Commissariat de police de Saint Malo";"22 Rue du Calvaire$35400 ST MALO";"+33 2 99 20 69 40";"35";"35288";"22 Rue du Calvaire";"35400";"ST MALO";"";"";"";"-2.00670642";"48.65360423"
"Commissariat de police de Chateauroux";"Boulevard George Sand$36000 CHATEAUROUX";"+33 2 54 08 50 17";"36";"36044";"Boulevard George Sand";"36000";"CHATEAUROUX";"";"";"";"1.68750457";"46.80710276"
"Commissariat de police de Joué-lès-Tours";"Place du Général Leclerc$37300 JOUE LES TOURS";"+33 2 47 73 66 90";"37";"37122";"Place du Général Leclerc";"37300";"JOUE LES TOURS";"";"";"";"0.66215609";"47.35170286"
"Commissariat de police de Tours";"70 Rue Marceau$37000 TOURS";"+33 2 47 33 80 69";"37";"37261";"70 Rue Marceau";"37000";"TOURS";"";"";"";"0.68600897";"47.39157675"
"Commissariat de police d'Échirolles";"38 Avenue du 8 mai 1945$38130 ECHIROLLES";"+33 4 56 45 96 10";"38";"38151";"38 Avenue du 8 mai 1945";"38130";"ECHIROLLES";"";"";"";"5.71777613";"45.14993121"
"Commissariat de police de Bourgoin Jallieu";"35 Avenue du Grand Tissage$38300 BOURGOIN JALLIEU";"+33 4 69 15 62 10";"38";"38053";"35 Avenue du Grand Tissage";"38300";"BOURGOIN JALLIEU";"";"";"";"5.27543085";"45.59093986"
"Commissariat de police de Fontaine";"81 Mail Marcel Cachin$38600 FONTAINE";"+33 4 56 45 96 30";"38";"38169";"81 Mail Marcel Cachin";"38600";"FONTAINE";"";"";"";"5.68747215";"45.19321662"
"Commissariat de police de Grenoble";"36 Boulevard Leclerc$38000 GRENOBLE";"+33 4 76 60 40 40";"38";"38185";"36 Boulevard Leclerc";"38000";"GRENOBLE";"";"";"";"5.73658157";"45.1930086"
"Commissariat de police de Grenoble - Secteur la Villeneuve";"2 Rue Colombine$38000 GRENOBLE";"+33 4 56 45 96 00";"38";"38185";"2 Rue Colombine";"38000";"GRENOBLE";"";"";"";"5.7310408";"45.1649039"
"Commissariat de police de Saint-Martin-d'Hères";"107 Avenue Benoît Frachon$38400 ST MARTIN D HERES";"+33 4 56 45 96 40";"38";"38421";"107 Avenue Benoît Frachon";"38400";"ST MARTIN D HERES";"";"";"";"5.75623264";"45.1775874"
"Commissariat de police de Vienne";"6 Place Pierre Sémard$38200 VIENNE";"+33 4 74 78 06 78";"38";"38544";"6 Place Pierre Sémard";"38200";"VIENNE";"";"";"";"4.87413207";"45.52131881"
"Commissariat de police de Voiron";"114 Cours Becquart Castelbon$38500 VOIRON";"+33 4 76 65 93 93";"38";"38563";"114 Cours Becquart Castelbon";"38500";"VOIRON";"";"";"";"5.59076993";"45.36218635"
"Commissariat de police de Dôle";"2 Rue du 21 Janvier$39100 DOLE";"+33 3 84 79 63 10";"39";"39198";"2 Rue du 21 Janvier";"39100";"DOLE";"";"";"";"5.49587841";"47.09477036"
"Commissariat de police de Lons le Saunier";"6 Avenue du 44ème régiment d'infanterie$39000 LONS LE SAUNIER";"+33 3 84 35 17 10";"39";"39300";"6 Avenue du 44ème régiment d'infanterie";"39000";"LONS LE SAUNIER";"";"";"";"5.5589486";"46.67140427"
"Commissariat de police de Dax";"5 Rue des fusillés$40100 DAX";"+33 5 58 56 58 58";"40";"40088";"5 Rue des fusillés";"40100";"DAX";"";"";"";"-1.05139205";"43.71034538"
"Commissariat de police de Mont de Marsan";"22 Place Joseph Pancaut$40000 MONT DE MARSAN";"+33 5 58 05 52 52";"40";"40192";"22 Place Joseph Pancaut";"40000";"MONT DE MARSAN";"";"";"";"-0.50292428";"43.88925676"
"Commissariat de police de Blois";"42 Quai Saint Jean$41000 BLOIS";"+33 2 54 55 17 78";"41";"41018";"42 Quai Saint Jean";"41000";"BLOIS";"";"";"";"1.34186706";"47.58996236"
"Commissariat de police de Blois - Secteur Nord";"133 Rue Michel Begon$41000 BLOIS";"+33 2 54 43 15 58";"41";"41018";"133 Rue Michel Begon";"41000";"BLOIS";"";"";"";"1.30900143";"47.59509785"
"Commissariat de police de Vendôme";"27 bis Faubourg Chartrain$41100 VENDOME";"+33 2 54 73 41 40";"41";"41269";"27 bis Faubourg Chartrain";"41100";"VENDOME";"";"";"";"1.06814053";"47.79571661"
"Commissariat de police de Gier";"12 Route de Saint Etienne$42400 ST CHAMOND";"+33 4 27 40 21 21";"42";"42207";"12 Route de Saint Etienne";"42400";"ST CHAMOND";"";"";"";"4.49472641";"45.46290204"
"Commissariat de police de Roanne";"21 Rue Raoul Follereau$42300 ROANNE";"+33 4 77 44 43 00";"42";"42187";"21 Rue Raoul Follereau";"42300";"ROANNE";"";"";"";"4.07470451";"46.03225238"
"Commissariat de police de Saint Etienne";"99 bis Cours Fauriel$42000 ST ETIENNE";"+33 4 77 43 28 28";"42";"42218";"99 bis Cours Fauriel";"42000";"ST ETIENNE";"";"";"";"4.40876174";"45.42353245"
"Commissariat de police de l'Ondaine";"15 Avenue de la gare$42700 FIRMINY";"+33 4 77 40 15 40";"42";"42095";"15 Avenue de la gare";"42700";"FIRMINY";"";"";"";"4.28675831";"45.39090102"
"Commissariat de police du Puy en Velay";"1 Rue de la passerelle$43000 LE PUY EN VELAY";"+33 4 71 04 04 22";"43";"43157";"1 Rue de la passerelle";"43000";"LE PUY EN VELAY";"";"";"";"3.88687013";"45.03989191"
"Commissariat de police de Nantes";"Place Waldeck Rousseau$44000 NANTES";"+33 2 53 46 70 00";"44";"44109";"Place Waldeck Rousseau";"44000";"NANTES";"";"";"";"-1.55179793";"47.2275616"
"Commissariat de police de Orvault";"38 Avenue Alexandre Goupil$44700 ORVAULT";"+33 2 55 58 47 20";"44";"44114";"38 Avenue Alexandre Goupil";"44700";"ORVAULT";"";"";"";"-1.59718061";"47.2535418"
"Commissariat de police de Rezé";"8 Allée de Touraine$44400 REZE";"+33 2 51 11 23 00";"44";"44143";"8 Allée de Touraine";"44400";"REZE";"";"";"";"-1.55604449";"47.18582176"
"Commissariat de police de Saint Nazaire";"59 Rue du Général de Gaulle$44600 ST NAZAIRE";"+33 2 49 14 23 00";"44";"44184";"59 Rue du Général de Gaulle";"44600";"ST NAZAIRE";"";"";"";"-2.21352565";"47.2743513"
"Commissariat de police de Saint-Herblain";"118 Boulevard François Mitterand$44800 ST HERBLAIN";"+33 2 55 58 46 50";"44";"44162";"118 Boulevard François Mitterand";"44800";"ST HERBLAIN";"";"";"";"-1.64823776";"47.21381718"
"Commissariat de police de la Baule-Escoublac";"Place Rhin et Danube$44500 LA BAULE ESCOUBLAC";"+33 2 51 73 75 00";"44";"44055";"Place Rhin et Danube";"44500";"LA BAULE ESCOUBLAC";"";"";"";"-2.39027429";"47.28843876"
"Commissariat de police d'Olivet";"479 Avenue du Loiret$45160 OLIVET";"+33 2 38 24 30 84";"45";"45232";"479 Avenue du Loiret";"45160";"OLIVET";"";"";"";"1.90437212";"47.87467471"
"Commissariat de police d'Orléans";"63 Rue du faubourg Saint-Jean$45000 ORLEANS";"+33 2 38 24 30 00";"45";"45234";"63 Rue du faubourg Saint-Jean";"45000";"ORLEANS";"";"";"";"1.88897951";"47.90663761"
"Commissariat de police d'Orléans - Secteur de l'Argonne";"26 Rue du Colonel O'neill$45000 ORLEANS";"+33 2 38 24 30 82";"45";"45234";"26 Rue du Colonel O'neill";"45000";"ORLEANS";"";"";"";"1.93123369";"47.91180372"
"Commissariat de police d'Orléans La Source";"1 Place Choiseul$45000 ORLEANS";"+33 2 38 69 70 75";"45";"45234";"1 Place Choiseul";"45000";"ORLEANS";"";"";"";"1.93431054";"47.83686037"
"Commissariat de police de Fleury-les-Aubrais";"1 Rue du Colonel Fabien$45400 FLEURY LES AUBRAIS";"+33 2 38 24 30 83";"45";"45147";"1 Rue du Colonel Fabien";"45400";"FLEURY LES AUBRAIS";"";"";"";"1.91228423";"47.93622477"
"Commissariat de police de Montargis";"27 Rue du port$45200 MONTARGIS";"+33 2 38 28 38 28";"45";"45208";"27 Rue du port";"45200";"MONTARGIS";"";"";"";"2.72954129";"48.0009477"
"Commissariat de police de Saint-Jean de la Ruelle";"47 Rue des dix arpents$45140 ST JEAN DE LA RUELLE";"+33 2 38 24 30 81";"45";"45285";"47 Rue des dix arpents";"45140";"ST JEAN DE LA RUELLE";"";"";"";"1.87166308";"47.90773582"
"Commissariat de police de Cahors";"Rue Mendes France$46000 CAHORS";"+33 5 65 23 17 17";"46";"46042";"Rue Mendes France";"46000";"CAHORS";"";"";"";"1.43899852";"44.45139263"
"Commissariat de police d'Agen";"2 Rue Palissy$47000 AGEN";"+33 5 53 68 17 00";"47";"47001";"2 Rue Palissy";"47000";"AGEN";"";"";"";"0.61221168";"44.20021515"
"Commissariat de police de Villeneuve-sur-Lot";"Boulevard de la République$47300 VILLENEUVE SUR LOT";"+33 5 53 49 62 70";"47";"47323";"Boulevard de la République";"47300";"VILLENEUVE SUR LOT";"";"";"";"0.70626283";"44.40885593"
"Commissariat de police de Mende";"4 Rue des ecoles$48000 MENDE";"+33 4 66 65 63 63";"48";"48095";"4 Rue des ecoles";"48000";"MENDE";"";"";"";"3.49971007";"44.51513654"
"Commissariat de police d'Angers";"15 Bis Rue du petit Thouars$49000 ANGERS";"+33 2 41 57 52 00";"49";"49007";"15 Bis Rue du petit Thouars";"49000";"ANGERS";"";"";"";"-0.55253004";"47.46329785"
"Commissariat de police d'Angers - Secteur Monplaisir";"11 Rue de Haarlem$49000 ANGERS";"+33 2 72 79 89 10";"49";"49007";"11 Rue de Haarlem";"49000";"ANGERS";"";"";"";"-0.55324982";"47.47068964"
"Commissariat de police d'Angers - Secteur Raspail";"2 Rue de l'abbaye$49000 ANGERS";"+33 2 41 36 63 00";"49";"49007";"2 Rue de l'abbaye";"49000";"ANGERS";"";"";"";"-0.5726661";"47.47379024"
"Commissariat de police d'Angers - Secteur Roseraie";"19 Boulevard Robert d'Arbrissel$49000 ANGERS";"+33 2 72 79 88 70";"49";"49007";"19 Boulevard Robert d'Arbrissel";"49000";"ANGERS";"";"";"";"-0.55999742";"47.44335624"
"Commissariat de police de Cholet";"4 Rue de Bordage-Fontaine$49300 CHOLET";"+33 2 41 64 82 00";"49";"49099";"4 Rue de Bordage-Fontaine";"49300";"CHOLET";"";"";"";"-0.86886158";"47.05156404"
"Commissariat de police de Saumur";"415 Rue du chemin vert$49400 SAUMUR";"+33 2 41 83 24 00";"49";"49328";"415 Rue du chemin vert";"49400";"SAUMUR";"";"";"";"-0.07753873";"47.24122959"
"Commissariat de police de Cherbourg";"2 Rue du Val de Saire$50130 CHERBOURG EN COTENTIN";"+33 2 33 88 76 76";"50";"50129";"2 Rue du Val de Saire";"50130";"CHERBOURG EN COTENTIN";"";"";"";"-1.61871701";"49.63895433"
"Commissariat de police de Coutances";"1 Rue du palais de justice$50200 COUTANCES";"+33 2 33 76 57 57";"50";"50147";"1 Rue du palais de justice";"50200";"COUTANCES";"";"";"";"-1.44302899";"49.04905502"
"Commissariat de police de Granville";"79 Rue du port$50400 GRANVILLE";"+33 2 33 91 27 50";"50";"50218";"79 Rue du port";"50400";"GRANVILLE";"";"";"";"-1.60186687";"48.8368863"
"Commissariat de police de Saint Lô";"336 Boulevard de la Dollée$50000 ST LO";"+33 2 33 72 68 00";"50";"50502";"336 Boulevard de la Dollée";"50000";"ST LO";"";"";"";"-1.09286616";"49.11721477"
"Commissariat de police d'Epernay";"7 Rue Jean Chandon Moêt$51200 EPERNAY";"+33 3 26 56 96 60";"51";"51230";"7 Rue Jean Chandon Moêt";"51200";"EPERNAY";"";"";"";"3.95785091";"49.04209643"
"Commissariat de police de Chalons en Champagne";"Place aux chevaux$51000 CHALONS EN CHAMPAGNE";"+33 3 26 66 27 27";"51";"51108";"Place aux chevaux";"51000";"CHALONS EN CHAMPAGNE";"";"";"";"4.36015831";"48.96036481"
"Commissariat de police de Reims";"40 Boulevard Louis Roederer$51100 REIMS";"+33 3 26 61 44 00";"51";"51454";"40 Boulevard Louis Roederer";"51100";"REIMS";"";"";"";"4.02155811";"49.25588329"
"Commissariat de police de Reims - Secteur Béthény";"1 Place Louise Michel$51450 BETHENY";"+33 3 51 56 48 20";"51";"51055";"1 Place Louise Michel";"51450";"BETHENY";"";"";"";"4.05116574";"49.27236893"
"Commissariat de police de Reims - Secteur Châtillons";"3 Rue Blaise Pascal$51100 REIMS";"+33 3 51 56 48 25";"51";"51454";"3 Rue Blaise Pascal";"51100";"REIMS";"";"";"";"4.03662322";"49.22663521"
"Commissariat de police de Reims - Secteur Croix Rouge";"2 Rue François Mauriac$51100 REIMS";"+33 3 51 56 48 30";"51";"51454";"2 Rue François Mauriac";"51100";"REIMS";"";"";"";"4.00522243";"49.24490623"
"Commissariat de police de Reims - Secteur Europe";"2 Place Jean Moulin$51100 REIMS";"+33 3 51 56 48 15";"51";"51454";"2 Place Jean Moulin";"51100";"REIMS";"";"";"";"4.06042956";"49.25555241"
"Commissariat de police de Reims - Secteur Laon";"2 bis Esplanade Rémi Pellot$51100 REIMS";"+33 3 51 56 48 35";"51";"51454";"2 bis Esplanade Rémi Pellot";"51100";"REIMS";"";"";"";"4.02038437";"49.27119382"
"Commissariat de police de Reims - Secteur Tinqueux";"15 Avenue Bonaparte$51430 TINQUEUX";"+33 3 51 56 48 40";"51";"51573";"15 Avenue Bonaparte";"51430";"TINQUEUX";"";"";"";"3.99175188";"49.24736764"
"Commissariat de police de Chaumont";"1 Avenue Carnot$52000 CHAUMONT";"+33 3 25 03 85 50";"52";"52121";"1 Avenue Carnot";"52000";"CHAUMONT";"";"";"";"5.14013725";"48.11534936"
"Commissariat de police de Saint Dizier";"5 Rue du Brigadier Albert$52100 ST DIZIER";"+33 3 25 06 56 56";"52";"52448";"5 Rue du Brigadier Albert";"52100";"ST DIZIER";"";"";"";"4.96228153";"48.63978577"
"Commissariat de police de Laval";"7 Place Mendes France$53000 LAVAL";"+33 2 43 67 81 81";"53";"53130";"7 Place Mendes France";"53000";"LAVAL";"";"";"";"-0.77729077";"48.06463465"
"Commissariat de police de Briey";"Avenue Marguerite Puhl Demange$54150 VAL DE BRIEY";"+33 3 82 47 12 30";"54";"54099";"Avenue Marguerite Puhl Demange";"54150";"VAL DE BRIEY";"";"";"";"5.94178032";"49.25655259"
"Commissariat de police de Conflans en Jarnisy";"41 Avenue du Général de Gaulle$54800 CONFLANS EN JARNISY";"+33 3 82 47 14 30";"54";"54136";"41 Avenue du Général de Gaulle";"54800";"CONFLANS EN JARNISY";"";"";"";"5.86152393";"49.16665097"
"Commissariat de police de Dombasle sur Meurthe";"1 Rue de Filderstadt$54110 DOMBASLE SUR MEURTHE";"+33 3 83 45 87 17";"54";"54159";"1 Rue de Filderstadt";"54110";"DOMBASLE SUR MEURTHE";"";"";"";"6.35315741";"48.62010649"
"Commissariat de police de Laxou";"Bâtiment Savoie$7 bis Boulevard de l'Europe$54520 LAXOU";"+33 3 83 27 78 31";"54";"54304";"Bâtiment Savoie - 7 bis Boulevard de l'Europe";"54520";"LAXOU";"";"";"";"6.14477552";"48.67945421"
"Commissariat de police de Longwy";"1 Avenue du Préfet Claude Erignac$54350 MONT ST MARTIN";"+33 3 82 24 30 01";"54";"54382";"1 Avenue du Préfet Claude Erignac";"54350";"MONT ST MARTIN";"";"";"";"5.78479997";"49.54480869"
